DATE,HOUR,MERIDIAN,HOURLYDRYBULBTEMPF,HOURLYRelativeHumidity,HOURLYWindSpeed,HOURLYWindGustSpeed,HOURLYPrecip,DAILYSunrise,DAILYSunset
9/1/2016,12:51:00,AM,59,60,6,,0,554,1859
9/1/2016,1:51:00,AM,60,65,3,,0,554,1859
9/1/2016,2:51:00,AM,61,56,10,,0,554,1859
9/1/2016,3:51:00,AM,70,34,10,,0,554,1859
9/1/2016,4:51:00,AM,66,45,5,,0,554,1859
9/1/2016,5:51:00,AM,64,48,7,,0,554,1859
9/1/2016,6:51:00,AM,59,64,3,,0,554,1859
9/1/2016,7:51:00,AM,65,56,5,,0,554,1859
9/1/2016,8:51:00,AM,69,53,8,,0,554,1859
9/1/2016,9:51:00,AM,82,23,0,,0,554,1859
9/1/2016,10:51:00,AM,82,26,3,,0,554,1859
9/1/2016,11:51:00,AM,85,21,0,,0,554,1859
9/1/2016,12:51:00,PM,89,18,17,,0,554,1859
9/1/2016,1:51:00,PM,91,14,17,24,0,554,1859
9/1/2016,2:51:00,PM,90,15,15,22,0,554,1859
9/1/2016,3:51:00,PM,88,18,14,,0,554,1859
9/1/2016,4:51:00,PM,83,23,21,26,0,554,1859
9/1/2016,5:51:00,PM,84,17,36,47,0,555,1858
9/1/2016,6:22:00,PM,78,26,44,53,,555,1858
9/1/2016,6:30:00,PM,78,25,24,53,,555,1858
9/1/2016,6:51:00,PM,74,32,37,46,0,555,1858
9/1/2016,7:09:00,PM,70,44,13s,23,,555,1858
9/1/2016,7:51:00,PM,73,34,18,33,0,555,1858
9/1/2016,8:04:00,PM,71,39,17,25,,555,1858
9/1/2016,8:51:00,PM,71,39,16,,0,555,1858
9/1/2016,9:51:00,PM,67,51,10,,0,555,1858
9/1/2016,10:51:00,PM,64,60,5,,0,555,1858
9/1/2016,11:51:00,PM,64,60,0,,0,555,1858
9/1/2016,11:59:00,PM,,,,,,555,1858
9/2/2016,12:51:00,AM,62,67,9,,0,555,1858
9/2/2016,1:51:00,AM,60,67,7,,0,555,1858
9/2/2016,2:51:00,AM,62,60,3,,0,555,1858
9/2/2016,3:51:00,AM,56,75,5,,0,555,1858
9/2/2016,4:51:00,AM,57,72,3,,0,555,1858
9/2/2016,5:51:00,AM,51,83,0,,0,555,1858
9/2/2016,6:51:00,AM,57,72,5,,0,555,1858
9/2/2016,7:51:00,AM,66,50,3,,0,555,1858
9/2/2016,8:51:00,AM,74,41,3,,0,555,1858
9/2/2016,9:51:00,AM,82,27,21,29,0,555,1858
9/2/2016,10:51:00,AM,83,28,17,,0,555,1858
9/2/2016,11:51:00,AM,85,25,14,22,0,555,1858
9/2/2016,12:51:00,PM,86,23,11,22,0,555,1858
9/2/2016,1:51:00,PM,87,20,15,29,0,555,1858
9/2/2016,2:51:00,PM,88,18,18,23,0,555,1858
9/2/2016,3:51:00,PM,87,17,8,,0,555,1858
9/2/2016,4:51:00,PM,88,15,15,,0,555,1858
9/2/2016,5:51:00,PM,85,18,9,,0,556,1856
9/2/2016,6:51:00,PM,81,21,6,,0,556,1856
9/2/2016,7:51:00,PM,71,30,20,34,0,556,1856
9/2/2016,8:51:00,PM,68,33,20,30,0,556,1856
9/2/2016,9:51:00,PM,67,33,11,,0,556,1856
9/2/2016,10:51:00,PM,63,40,10,,0,556,1856
9/2/2016,11:51:00,PM,60,47,7,,0,556,1856
9/2/2016,11:59:00,PM,,,,,,556,1856
9/3/2016,12:51:00,AM,58,53,0,,0,556,1856
9/3/2016,1:51:00,AM,54,64,0,,0,556,1856
