DATE,HOUR,MERIDIAN,HOURLYDRYBULBTEMPF,HOURLYRelativeHumidity,HOURLYWindSpeed,HOURLYWindGustSpeed,DAILYSunrise,DAILYSunset
6/1/2016,12:51:00,AM,48,83,0,,455,1956
6/1/2016,1:51:00,AM,49,80,0,,455,1956
6/1/2016,2:51:00,AM,45,86,0,,455,1956
6/1/2016,3:51:00,AM,44,89,0,,455,1956
6/1/2016,4:51:00,AM,41,89,5,,455,1956
6/1/2016,5:51:00,AM,44,89,0,,455,1956
6/1/2016,6:51:00,AM,48,86,3,,455,1956
6/1/2016,7:51:00,AM,53,66,3,,455,1956
6/1/2016,8:51:00,AM,59,56,6,,455,1956
6/1/2016,9:51:00,AM,63,50,6,,455,1956
6/1/2016,10:51:00,AM,67,39,0,,455,1956
6/1/2016,11:51:00,AM,71,34,3,,455,1956
6/1/2016,12:51:00,PM,74,31,0,,455,1956
6/1/2016,1:51:00,PM,76,26,5,,455,1956
6/1/2016,2:51:00,PM,77,26,3,,455,1956
6/1/2016,3:51:00,PM,77,26,3,,455,1956
6/1/2016,4:51:00,PM,76,20,3,,455,1956
6/1/2016,5:51:00,PM,76,26,0,,454,1957
6/1/2016,6:51:00,PM,77,20,0,,454,1957
6/1/2016,7:51:00,PM,69,51,8,,454,1957
6/1/2016,8:51:00,PM,62,50,6,,454,1957
6/1/2016,9:51:00,PM,62,50,8,,454,1957
6/1/2016,10:51:00,PM,54,69,0,,454,1957
6/1/2016,11:51:00,PM,48,83,3,,454,1957
6/1/2016,11:59:00,PM,,,,,454,1957
6/2/2016,12:51:00,AM,52,75,5,,454,1957
6/2/2016,1:51:00,AM,49,80,3,,454,1957
6/2/2016,2:51:00,AM,46,86,3,,454,1957
6/2/2016,3:51:00,AM,45,86,0,,454,1957
6/2/2016,4:51:00,AM,49,80,0,,454,1957
6/2/2016,5:51:00,AM,46,89,3,,454,1957
6/2/2016,6:51:00,AM,53,80,0,,454,1957
6/2/2016,7:51:00,AM,57,58,7,,454,1957
6/2/2016,8:51:00,AM,60,56,5,,454,1957
6/2/2016,9:51:00,AM,64,52,6,,454,1957
6/2/2016,10:51:00,AM,70,47,8,,454,1957
6/2/2016,11:51:00,AM,74,36,5,,454,1957
6/2/2016,12:51:00,PM,79,25,6,,454,1957
6/2/2016,1:51:00,PM,79,25,6,,454,1957
6/2/2016,2:51:00,PM,80,24,0,,454,1957
6/2/2016,3:51:00,PM,80,23,6,,454,1957
6/2/2016,4:51:00,PM,80,25,5,,454,1957
6/2/2016,5:51:00,PM,78,29,7,,454,1958
6/2/2016,6:51:00,PM,71,49,9,,454,1958
6/2/2016,7:51:00,PM,69,42,9,,454,1958
6/2/2016,8:51:00,PM,63,58,10,,454,1958
6/2/2016,9:51:00,PM,65,54,0,,454,1958
6/2/2016,10:51:00,PM,63,63,3,,454,1958
6/2/2016,11:51:00,PM,57,74,5,,454,1958
6/2/2016,11:59:00,PM,,,,,454,1958
6/3/2016,12:51:00,AM,57,78,3,,454,1958
6/3/2016,1:51:00,AM,52,83,0,,454,1958
6/3/2016,2:51:00,AM,52,89,3,,454,1958
6/3/2016,3:51:00,AM,50,89,0,,454,1958
6/3/2016,4:51:00,AM,51,86,0,,454,1958
6/3/2016,5:51:00,AM,51,92,3,,454,1958
6/3/2016,6:51:00,AM,57,78,0,,454,1958
6/3/2016,7:51:00,AM,61,65,0,,454,1958
6/3/2016,8:51:00,AM,65,54,0,,454,1958
6/3/2016,9:51:00,AM,70,39,0,,454,1958
6/3/2016,10:51:00,AM,73,30,0,,454,1958
6/3/2016,11:51:00,AM,76,30,0,,454,1958
6/3/2016,12:51:00,PM,77,32,7,,454,1958
6/3/2016,1:51:00,PM,79,28,5,,454,1958
6/3/2016,2:51:00,PM,80,29,,,454,1958
6/3/2016,3:51:00,PM,81,29,9,,454,1958
6/3/2016,4:51:00,PM,81,30,9,,454,1958
6/3/2016,5:51:00,PM,81,30,6,,453,1959
6/3/2016,6:51:00,PM,79,35,5,,453,1959
6/3/2016,7:51:00,PM,76,37,3,,453,1959
6/3/2016,8:51:00,PM,68,59,5,,453,1959
6/3/2016,9:51:00,PM,66,52,5,,453,1959
6/3/2016,10:51:00,PM,56,87,5,,453,1959
6/3/2016,11:51:00,PM,59,78,3,,453,1959
6/3/2016,11:59:00,PM,,,,,453,1959
6/4/2016,12:51:00,AM,55,87,0,,453,1959
6/4/2016,1:51:00,AM,53,86,0,,453,1959
6/4/2016,2:51:00,AM,52,86,3,,453,1959
6/4/2016,3:51:00,AM,51,89,5,,453,1959
6/4/2016,4:51:00,AM,52,89,5,,453,1959
6/4/2016,5:51:00,AM,54,90,0,,453,1959
6/4/2016,6:51:00,AM,58,78,0,,453,1959
6/4/2016,7:51:00,AM,63,70,0,,453,1959
6/4/2016,8:51:00,AM,68,55,0,,453,1959
6/4/2016,9:51:00,AM,71,49,3,,453,1959
6/4/2016,10:51:00,AM,75,45,5,,453,1959
6/4/2016,11:51:00,AM,79,36,3,,453,1959
6/4/2016,12:51:00,PM,81,35,3,,453,1959
6/4/2016,1:51:00,PM,84,29,0,,453,1959
6/4/2016,2:51:00,PM,85,27,8,,453,1959
6/4/2016,3:51:00,PM,85,27,9,,453,1959
6/4/2016,4:51:00,PM,85,28,7,,453,1959
6/4/2016,5:51:00,PM,84,29,6,,453,1959
6/4/2016,6:51:00,PM,82,35,0,,453,1959
6/4/2016,7:51:00,PM,79,32,6,,453,1959
6/4/2016,8:51:00,PM,71,53,0,,453,1959
6/4/2016,9:51:00,PM,62,70,3,,453,1959
6/4/2016,10:51:00,PM,60,78,0,,453,1959
6/4/2016,11:51:00,PM,57,78,0,,453,1959
6/4/2016,11:59:00,PM,,,,,453,1959
6/5/2016,12:51:00,AM,51,89,7,,453,1959
6/5/2016,1:51:00,AM,57,74,3,,453,1959
6/5/2016,2:51:00,AM,54,80,0,,453,1959
6/5/2016,3:51:00,AM,52,86,0,,453,1959
6/5/2016,4:51:00,AM,53,83,0,,453,1959
6/5/2016,5:51:00,AM,50,89,3,,453,1959
6/5/2016,6:51:00,AM,58,81,5,,453,1959
6/5/2016,7:51:00,AM,63,68,3,,453,1959
6/5/2016,8:51:00,AM,68,53,0,,453,1959
6/5/2016,9:51:00,AM,73,48,5,,453,1959
6/5/2016,10:51:00,AM,77,37,0,,453,1959
6/5/2016,11:51:00,AM,80,34,6,,453,1959
6/5/2016,12:51:00,PM,85,25,6,,453,1959
6/5/2016,1:51:00,PM,87,18,0,,453,1959
6/5/2016,2:51:00,PM,88,16,3,,453,1959
6/5/2016,3:51:00,PM,89,12,0,,453,1959
6/5/2016,4:51:00,PM,89,16,3,,453,1959
6/5/2016,5:51:00,PM,87,17,3,,453,2000
6/5/2016,6:51:00,PM,84,29,0,,453,2000
6/5/2016,7:51:00,PM,75,54,6,,453,2000
6/5/2016,8:51:00,PM,73,46,0,,453,2000
6/5/2016,9:51:00,PM,61,72,5,,453,2000
6/5/2016,10:51:00,PM,62,70,5,,453,2000
6/5/2016,11:51:00,PM,63,70,0,,453,2000
6/5/2016,11:59:00,PM,,,,,453,2000
6/6/2016,12:51:00,AM,61,75,5,,453,2000
6/6/2016,1:51:00,AM,58,81,0,,453,2000
6/6/2016,2:51:00,AM,55,83,7,,453,2000
6/6/2016,3:51:00,AM,57,81,5,,453,2000
6/6/2016,4:51:00,AM,56,84,3,,453,2000
6/6/2016,5:51:00,AM,57,93,0,,453,2000
6/6/2016,6:23:00,AM,57,87,3,,453,2000
6/6/2016,6:51:00,AM,57,93,3,,453,2000
6/6/2016,7:51:00,AM,62,75,5,,453,2000
6/6/2016,8:51:00,AM,68,59,7,,453,2000
6/6/2016,9:51:00,AM,72,48,6,,453,2000
6/6/2016,10:51:00,AM,75,50,7,,453,2000
6/6/2016,11:51:00,AM,76,43,6,,453,2000
6/6/2016,12:51:00,PM,82,31,0,,453,2000
6/6/2016,1:51:00,PM,85,35,8,,453,2000
6/6/2016,2:51:00,PM,89,19,11,18,453,2000
6/6/2016,3:51:00,PM,89,20,14,,453,2000
6/6/2016,4:51:00,PM,85,19,26,46,453,2000
6/6/2016,5:51:00,PM,80,23,10,25,453,2000
6/6/2016,6:51:00,PM,77,29,9,,453,2000
6/6/2016,7:51:00,PM,75,28,11,,453,2000
6/6/2016,8:51:00,PM,74,29,11,,453,2000
6/6/2016,9:51:00,PM,74,31,14,,453,2000
6/6/2016,10:51:00,PM,68,42,5,,453,2000
6/6/2016,11:51:00,PM,63,54,5,,453,2000
6/6/2016,11:59:00,PM,,,,,453,2000
6/7/2016,12:51:00,AM,57,72,9,,453,2000
6/7/2016,1:51:00,AM,59,64,8,,453,2000
6/7/2016,2:51:00,AM,58,67,6,,453,2000
6/7/2016,3:51:00,AM,54,77,8,,453,2000
6/7/2016,4:51:00,AM,54,80,0,,453,2000
6/7/2016,5:51:00,AM,54,87,9,,453,2000
6/7/2016,6:51:00,AM,61,70,5,,453,2000
6/7/2016,7:51:00,AM,66,59,7,,453,2000
6/7/2016,8:51:00,AM,68,51,0,,453,2000
6/7/2016,9:51:00,AM,73,44,6,,453,2000
6/7/2016,10:51:00,AM,77,39,6,,453,2000
6/7/2016,11:51:00,AM,79,34,0,,453,2000
6/7/2016,12:51:00,PM,82,29,3,,453,2000
6/7/2016,1:51:00,PM,84,25,3,,453,2000
6/7/2016,2:51:00,PM,86,22,6,,453,2000
6/7/2016,3:51:00,PM,84,25,6,,453,2000
6/7/2016,4:51:00,PM,84,30,14,,453,2000
6/7/2016,5:51:00,PM,83,30,8,,452,2001
6/7/2016,6:51:00,PM,80,34,5,,452,2001
6/7/2016,7:51:00,PM,76,43,5,,452,2001
6/7/2016,8:51:00,PM,73,44,0,,452,2001
6/7/2016,9:51:00,PM,69,53,9,,452,2001
6/7/2016,10:51:00,PM,66,56,0,,452,2001
6/7/2016,11:51:00,PM,60,75,3,,452,2001
