STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,REPORTTPYE,HOURLYSKYCONDITIONS,HOURLYVISIBILITY,HOURLYPRSENTWEATHERTYPE,HOURLYDRYBULBTEMPF,HOURLYDRYBULBTEMPC,HOURLYWETBULBTEMPF,HOURLYWETBULBTEMPC,HOURLYDewPointTempF,HOURLYDewPointTempC,HOURLYRelativeHumidity,HOURLYWindSpeed,HOURLYWindDirection,HOURLYWindGustSpeed,HOURLYStationPressure,HOURLYPressureTendency,HOURLYPressureChange,HOURLYSeaLevelPressure,HOURLYPrecip,HOURLYAltimeterSetting,DAILYMaximumDryBulbTemp,DAILYMinimumDryBulbTemp,DAILYAverageDryBulbTemp,DAILYDeptFromNormalAverageTemp,DAILYAverageRelativeHumidity,DAILYAverageDewPointTemp,DAILYAverageWetBulbTemp,DAILYHeatingDegreeDays,DAILYCoolingDegreeDays,DAILYSunrise,DAILYSunset,DAILYWeather,DAILYPrecip,DAILYSnowfall,DAILYSnowDepth,DAILYAverageStationPressure,DAILYAverageSeaLevelPressure,DAILYAverageWindSpeed,DAILYPeakWindSpeed,PeakWindDirection,DAILYSustainedWindSpeed,DAILYSustainedWindDirection,MonthlyMaximumTemp,MonthlyMinimumTemp,MonthlyMeanTemp,MonthlyAverageRH,MonthlyDewpointTemp,MonthlyWetBulbTemp,MonthlyAvgHeatingDegreeDays,MonthlyAvgCoolingDegreeDays,MonthlyStationPressure,MonthlySeaLevelPressure,MonthlyAverageWindSpeed,MonthlyTotalSnowfall,MonthlyDeptFromNormalMaximumTemp,MonthlyDeptFromNormalMinimumTemp,MonthlyDeptFromNormalAverageTemp,MonthlyDeptFromNormalPrecip,MonthlyTotalLiquidPrecip,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT32Temp,MonthlyDaysWithGT32Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT1Snow,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureDate,MonthlyMaxSeaLevelPressureTime,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureDate,MonthlyMinSeaLevelPressureTime,MonthlyTotalHeatingDegreeDays,MonthlyTotalCoolingDegreeDays,MonthlyDeptFromNormalHeatingDD,MonthlyDeptFromNormalCoolingDD,MonthlyTotalSeasonToDateHeatingDD,MonthlyTotalSeasonToDateCoolingDD
WBAN:14768,ROCHESTER GREATER INTERNATIONAL NY US,164.3,43.1167,-77.6767,2016-04-25 00:54,FM-15,BKN:07 70 OVC:08 85,10.00,,48,8.9,41,5.0,22,-5.6,36,0,000,,29.46,6,,30.07,,30.05,,,,,,,,,,0512,1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14768,ROCHESTER GREATER INTERNATIONAL NY US,164.3,43.1167,-77.6767,2016-04-25 01:00,FM-12,74,,,48,8.9,41,5.0,22,-5.6,36,0,000,,29.42,6,+0.02,30.07,,,49,32,40,-10.1,,,,25,0,0512,1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14768,ROCHESTER GREATER INTERNATIONAL NY US,164.3,43.1167,-77.6767,2016-04-25 01:54,FM-15,OVC:08 75,10.00,,48,8.9,41,5.0,24,-4.4,39,0,000,,29.46,,,30.06,0.00,30.05,,,,,,,,,,0512,1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14768,ROCHESTER GREATER INTERNATIONAL NY US,164.3,43.1167,-77.6767,2016-04-25 02:54,FM-15,OVC:08 70,10.00,,48,8.9,41,5.0,24,-4.4,39,0,000,,29.45,,,30.06,0.00,30.04,,,,,,,,,,0512,1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14768,ROCHESTER GREATER INTERNATIONAL NY US,164.3,43.1167,-77.6767,2016-04-25 03:00,SHEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0512,1906,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14768,ROCHESTER GREATER INTERNATIONAL NY US,164.3,43.1167,-77.6767,2016-04-25 03:54,FM-15,OVC:08 60,10.00,,47,8.3,41,5.0,31,-0.6,54,0,000,,29.45,5,,30.06,T,30.04,,,,,,,,,,0512,1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14768,ROCHESTER GREATER INTERNATIONAL NY US,164.3,43.1167,-77.6767,2016-04-25 04:54,FM-15,OVC:08 55,10.00,-RA:02 |RA:61 |,48,8.9,41,5.2,28,-2.2,46,8,030,,29.47,,,30.07,T,30.06,,,,,,,,,,0512,1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14768,ROCHESTER GREATER INTERNATIONAL NY US,164.3,43.1167,-77.6767,2016-04-25 05:54,FM-15,OVC:08 50,10.00,,47,8.3,40,4.7,27,-2.8,46,6,040,,29.49,,,30.10,T,30.08,,,,,,,,,,0512,1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14768,ROCHESTER GREATER INTERNATIONAL NY US,164.3,43.1167,-77.6767,2016-04-25 06:54,FM-15,BKN:07 55 OVC:08 90,10.00,,46,7.8,39,4.1,25,-3.9,44,13,050,,29.49,1,,30.11,0.00,30.09,,,,,,,,,,0512,1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14768,ROCHESTER GREATER INTERNATIONAL NY US,164.3,43.1167,-77.6767,2016-04-25 07:00,FM-12,57,,,46,7.8,39,4.1,25,-3.9,44,13,050,,29.46,1,-0.04,30.11,,,55,46,50,-0.1,,,,15,0,0512,1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14768,ROCHESTER GREATER INTERNATIONAL NY US,164.3,43.1167,-77.6767,2016-04-25 07:54,FM-15,SCT:04 49 OVC:08 65,10.00,,46,7.8,40,4.4,29,-1.7,51,13,070,,29.48,,,30.09,0.00,30.07,,,,,,,,,,0512,1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14768,ROCHESTER GREATER INTERNATIONAL NY US,164.3,43.1167,-77.6767,2016-04-25 08:54,FM-15,OVC:08 70,10.00,,46,7.8,40,4.5,30,-1.1,54,10,090,,29.48,,,30.09,0.00,30.07,,,,,,,,,,0512,1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14768,ROCHESTER GREATER INTERNATIONAL NY US,164.3,43.1167,-77.6767,2016-04-25 09:54,FM-15,OVC:08 55,10.00,,47,8.3,41,5.0,31,-0.6,54,8,070,,29.49,5,,30.09,0.00,30.08,,,,,,,,,,0512,1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14768,ROCHESTER GREATER INTERNATIONAL NY US,164.3,43.1167,-77.6767,2016-04-25 10:54,FM-15,FEW:02 36 BKN:07 70 OVC:08 90,10.00,-RA:02 |RA:61 |,47,8.3,41,5.2,33,0.6,59,11,070,,29.47,,,30.08,T,30.06,,,,,,,,,,0512,1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14768,ROCHESTER GREATER INTERNATIONAL NY US,164.3,43.1167,-77.6767,2016-04-25 11:54,FM-15,OVC:08 60,10.00,,44,6.7,39,4.0,32,0.0,63,13,060,,29.45,,,30.06,0.00,30.04,,,,,,,,,,0512,1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14768,ROCHESTER GREATER INTERNATIONAL NY US,164.3,43.1167,-77.6767,2016-04-25 12:54,FM-15,OVC:08 75,10.00,,46,7.8,41,4.8,33,0.6,61,11,040,,29.45,6,,30.06,0.00,30.04,,,,,,,,,,0512,1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14768,ROCHESTER GREATER INTERNATIONAL NY US,164.3,43.1167,-77.6767,2016-04-25 13:00,FM-12,74,,,46,7.8,41,4.8,33,0.6,61,11,040,,29.42,6,+0.04,30.06,,,,,,,,,,,,0512,1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:14768,ROCHESTER GREATER INTERNATIONAL NY US,164.3,43.1167,-77.6767,2016-04-25 13:54,FM-15,BKN:07 80 OVC:08 220,10.00,,47,8.3,41,5.2,33,0.6,59,13,070,,29.41,,,30.02,0.00,30.00,,,,,,,,,,0512,1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
